Populations,CD163,CD28,CD153 (CD30L),CD4,CD11c,CD56,FoxP3,CD20,CD68,CD8,CD3,CD15,HLA-DR,CD30,Pax-5,PD-L1,CD25
M2_Macrophage,1,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,,-1,-1,,
Cancer,-1,,-1,,-1,,-1,-1,,,-1,,,1,,1,
Treg,-1,1,-1,1,,-1,1,,,,1,-1,,-1,-1,,1
Neutrophil,,-1,-1,-1,-1,-1,-1,-1,,-1,-1,1,,-1,-1,,
CD4+_T_cell,,,-1,1,,-1,-1,,,-1,1,-1,,-1,-1,,-1
CD8+_T_cell,,,-1,-1,,-1,,-1,,1,1,-1,,-1,-1,,
Dendritic_cell,-1,,-1,,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,,
M1_Macrophage,-1,,-1,-1,-1,-1,-1,,1,-1,-1,-1,,-1,-1,,
Endothelial,-1,-1,1,,,,,,,-1,-1,-1,-1,-1,-1,,
B_cell,-1,,-1,,-1,-1,-1,1,-1,-1,,-1,,-1,1,-1,
NK_cell,-1,,-1,,,1,-1,-1,-1,-1,,,,-1,-1,,
